-0.0713621+0.184388j -0.324929-0.157847j 0.321559-0.692389j 0.0321968-0.0946965j -0.014392+0.0648327j -0.307327+0.575966j 0.28243-0.122579j -0.294907+0.396072j -0.400848+0.644244j -0.7087+0.628658j 0.144586-0.0573044j 0.90612-1.39709j 0.332183-0.261336j -0.00910225-0.30259j 0.194204-0.453187j 1.24697-1.59605j -0.930669+1.16086j 1.18829-1.58709j -0.85697+1.30941j -0.177511-0.302949j 0.3325-0.160739j -1.37301+1.95677j 1.09456-1.58027j 0.46671-0.932424j 0.825825-1.41537j -2.04954+2.73203j 0.0282581-0.104446j 0.438092-0.63202j 0.136334-0.0742422j 1.07787-1.23195j -0.727604+0.846465j 1.43184-1.4647j -1.72025+1.39455j -0.741742+0.978519j -0.866853-1.5536j 0.988011-0.935101j -0.628354+0.686151j 1.76254-1.30458j -1.91343+1.65171j -0.831879+1.02636j -1.63074+1.66506j -0.301515+0.345099j 0.491966-0.455209j 0.652537-0.577117j -3.20026+3.10496j 0.973358-0.960761j -0.521962+1.02257j 1.56366-1.60037j -1.50342+1.82456j -0.291705+0.959905j 0.0207743-0.24895j -0.664097+1.56634j 1.41572-0.935243j -0.653941+1.05757j 1.39775-1.14915j 0.8146-0.0997336j -0.238915-0.366184j -0.0347077+0.0131861j -2.04412+1.14999j -0.0303806-0.198738j 1.47991-1.14917j 1.02647+0.123155j -0.0560123-0.735185j -1.29093+0.333862j 0.510719-0.346682j -0.559905-0.401823j 0.968398+0.781743j 0.283839-0.703245j 1.20573+0.92212j -0.909878+2.46631j 
0.230925-0.239042j 0.639527-1.19107j -0.544704+3.04613j 0.3581-0.650063j -0.354314+0.379634j 1.46294-6.37819j -0.548503+1.39458j 1.02277-4.37424j 1.42476-6.81712j 2.07547-9.11122j 0.0100703+1.16935j -3.09298+13.6479j -1.09299+5.46786j -0.438981+0.61579j -1.06003+4.72114j -3.97356+16.4565j 2.9864-14.9115j -3.84265+18.4093j 2.54028-13.1684j -0.341587-0.671233j -0.48568+5.70631j 4.66509-22.3199j -4.15985+18.4004j -1.52127+9.60398j -2.63073+15.4605j 7.24464-34.224j -1.37704+5.67832j -1.42587+7.72396j 0.212648-0.240542j -3.66245+17.5614j 1.7421-10.2182j -4.15768+22.1301j 4.09495-21.0749j 0.97482-9.81974j 15.2237+7.20907j -3.09574+13.7672j 2.20681-9.86399j -3.70861+21.244j 5.03345-22.322j 2.71107-10.1498j 3.78569-18.1219j 0.598761-1.04796j -1.31601+6.36111j -1.47334+5.62768j 6.63398-34.1132j -3.80212+14.9617j 2.91555-10.0787j -3.31843+17.5212j 4.49746-23.0866j 1.47525-6.89249j -0.282363+2.07427j 2.9911-13.1784j -3.99882+17.2001j 2.75021-14.8055j -3.33906+16.4499j -1.59944+4.73938j -0.251254-1.57636j -0.417108+4.30448j 3.46183-13.5792j -0.833332+1.27484j -2.39085+10.4449j -1.95338+7.90086j -1.14365+4.66321j -0.144566-0.983002j -0.842984+6.7116j 0.304671-0.653629j -0.739758+0.92531j 0.93704-3.10885j -0.233499+0.549768j 0.0816425-0.460456j 
0.14947-0.04858j 0.36604-2.72284j -0.881308+9.17474j -0.409248-1.39326j -0.170388+0.64613j 1.45809-18.457j -0.00372027+2.94043j 1.75652-13.8541j 1.64835-20.1161j 2.1412-28.4639j -0.351653+4.70488j -3.03935+40.2681j -1.20448+13.9368j -0.0748931+1.128j -1.46136+12.8977j -5.20669+47.5665j 4.97768-44.5332j -4.83871+51.7899j 3.21831-39.6683j -0.572819-2.129j -1.92028+15.9746j 5.96065-64.3162j -4.3529+51.64j -2.77328+27.9789j -4.42911+43.1143j 8.63823-98.0184j -1.66112+13.8259j -1.69738+20.7135j -0.230201+2.98529j -4.93611+52.3281j 2.44894-29.95j -5.82079+63.4869j 5.52841-61.6008j 3.31168-28.5887j 42.8113+15.5164j -5.29651+39.9333j 2.67429-29.3863j -4.86772+61.3611j 6.26532-62.4889j 3.1686-29.2549j 4.68511-51.8019j -0.304042-2.45176j -0.775025+19.7591j -1.95385+15.1132j 9.67981-97.7298j -4.50886+42.5296j 2.27118-27.3065j -5.14134+49.9306j 6.71054-65.2017j 1.16357-15.8585j -0.719821+2.62629j 4.98843-38.9522j -5.34589+51.1688j 4.64223-42.3982j -4.99777+46.8771j -1.0864+12.1366j -0.864596-1.22295j -0.810185+14.4039j 3.86556-39.69j -0.476427+4.83575j -3.23642+28.5482j -2.03398+19.63j -1.39946+13.321j 1.3278-2.8136j -2.68256+17.9543j 0.180912-0.478846j -0.085399+1.83057j 0.446113-9.2165j 0.258612+2.43775j 0.162371-0.0997535j 
0.0769077+0.132983j 0.50751-2.12688j -0.0135662+7.63686j -0.411541-1.25067j 0.152321+0.368057j 1.04464-15.443j -0.187943+2.60752j 0.444039-11.2792j 0.272125-16.6762j 1.62226-23.3799j -0.22333+3.98609j -2.09898+32.5504j -0.0359479+11.5728j -0.489774+1.20485j -1.3524+11.4539j -1.67384+40.1577j 1.73204-36.2682j -1.85229+41.8418j 1.01608-31.7259j -0.812277-1.30041j -0.278413+12.7539j 2.15991-53.2439j -2.02037+41.5766j -1.58044+22.4035j -1.32945+35.4998j 2.69642-80.8145j 0.385232+11.836j 0.309084+17.9685j 0.422531+2.84773j -0.919922+42.5995j 0.671584-24.7338j -2.11827+52.7193j 1.83666-49.8272j 1.69027-23.6374j 34.5909+9.94737j -1.22024+34.1865j 0.585065-22.8009j -1.84094+50.7131j 2.41958-53.3333j 0.990049-24.2489j 1.3367-42.189j 0.576335-2.94099j 0.254938+17.1466j -0.488781+10.8641j 2.60349-80.7208j -0.389085+35.3304j 0.836964-22.5752j -1.18039+41.8885j 1.71299-52.4779j 1.39694-13.9853j -0.47975+1.2292j 0.609329-32.6662j -1.76027+42.4991j 2.10006-36.7548j -0.986402+39.5832j -0.474151+10.6824j 0.630695-0.59394j -0.164904+12.4224j 0.264984-33.9165j -0.297132+4.02831j -0.168529+23.3195j 0.16528+16.5339j -0.548924+11.5315j -0.0319476-2.71113j -0.20217+14.7544j -0.230913-0.775409j -0.331433+1.63915j 0.0275859-7.52817j 0.273415+1.94227j 0.455691+0.00788492j 
0.0707188+0.0324378j 0.0314151-0.312869j 0.043901+1.40189j -0.0528661-0.244287j -0.00434917+0.315774j 0.416198-2.54943j -0.236353+0.595871j -0.0305961-2.37731j -0.00462858-3.20897j 0.598655-4.04082j -0.0901765+0.841554j -0.737096+5.78291j -0.0638475+2.33245j 0.161946-0.170551j -0.00922649+2.23986j 0.120308+7.43156j -0.657566-6.35839j -0.191266+7.46875j 0.607561-5.80191j -0.64288-0.165346j -0.21884+2.39518j 0.842942-9.82751j -1.02857+8.34502j -0.0176864+4.47748j 0.245781+5.74145j -0.592561-12.6293j -0.677404+2.13455j -1.11396+2.87074j -0.934907+0.314947j -0.224503+8.3786j -0.204457-5.62241j 0.88309+9.43094j 0.49693-9.89947j 0.647599-4.22203j 5.65827+1.41916j -0.248251+5.06201j -0.453927-4.46961j 0.0176756+9.76942j 1.01285-9.22747j 0.364309-5.78843j 0.459134-8.61102j -0.925441-0.25581j 0.713573+2.72048j 0.444749+2.20438j 1.10025-12.4609j -0.680687+5.59136j -0.0936835-4.42732j 0.777071+8.52402j -0.405872-9.90859j -0.23853-2.23936j -0.818823-0.137787j -0.174934-5.54339j 0.0182756+7.35768j 0.890606-6.12614j -0.639306+7.56978j 0.121063+2.28572j -0.0569851+0.15705j -0.138059+2.30773j -0.399345-5.58227j 0.118497+0.802578j 0.391305+3.95613j -0.30763+3.19822j -0.0822428+2.34349j -0.136584-0.572218j 0.270917+2.68121j 0.0945926-0.223351j -0.0233324+0.162121j 0.22079-1.37035j 0.0810748+0.334474j 0.0760863-0.0126348j 
0.200076+0.142321j 0.35735-2.06858j -0.148412+7.69694j -0.494019-1.66939j -0.234903+0.888007j 0.306186-15.3022j -0.266099+2.79496j -0.164715-11.881j 1.08865-17.0186j 0.996562-24.3145j 0.00809486+4.29749j -1.12418+34.7743j -0.154493+12.3444j 0.346486+0.764263j -0.0789641+11.0818j -0.796067+40.5189j -0.691217-37.9081j 0.233658+44.1284j 0.31453-33.6908j -0.287243-1.44233j 0.759088+14.7164j 0.0257035-54.5325j -0.0552877+43.0142j 0.223095+23.2774j -0.431638+36.5438j 0.0449381-83.6631j 0.298731+11.7117j -0.945901+17.6245j 0.731592+2.9003j -0.000231187+43.5895j -0.396495-24.6018j 0.780855+54.7195j 0.0465749-52.4066j -0.0816501-23.6564j 36.6946+8.09873j -0.135241+35.2349j -1.00318-24.2155j 0.281571+51.2291j -0.971322-54.3168j -0.00515217-25.6882j 0.305254-43.7543j 0.825532-3.08919j -1.20882+18.3663j -0.638654+11.8885j -0.979652-83.2368j 0.655481+36.8837j -1.33015-23.183j 0.988921+42.7417j -0.896528-54.4835j 0.00569861-13.0194j -0.911711+1.29455j -0.140103-32.5475j 1.20211+43.0072j -1.38841-37.3127j 1.07589+41.1083j 1.41539+11.7687j -0.454708-1.24405j -0.534836+11.8535j -1.47354-33.4723j 0.377656+3.86412j 1.24667+23.6815j 0.192322+16.7876j 0.374584+11.5881j -0.235899-2.49232j 0.926648+15.6843j 0.156695-0.333313j -0.476276+1.30526j 0.26249-7.68544j 0.573213+2.36319j 0.128693-0.0468225j 
-0.177291+0.14476j 0.540878-2.02207j 0.199621+7.66109j -0.683185-1.50671j 0.126019+0.319606j -1.14712-15.5502j 0.387655+2.60072j -0.886679-11.4796j 0.139501-16.6535j -0.615891-24.4283j -0.378091+4.28686j 1.59867+33.4128j 1.07913+12.0584j -1.08582+0.647999j -0.00605729+10.502j 2.0665+39.8647j -2.4979-36.018j 2.52941+43.3902j -3.29014-32.9385j -0.707894-2.32715j 0.588562+13.113j -3.97923-55.5165j 2.91656+42.3307j 1.64477+23.3019j 2.99635+35.7945j -5.8992-83.0923j 0.80752+13.3431j -0.254075+16.763j -0.0997207+1.99605j 3.18163+43.9113j -2.74546-24.8552j 4.24127+52.5556j -2.81048-51.7619j -1.5465-25.1727j 38.5517+5.34642j 3.86999+33.4804j -2.92977-24.0362j 4.65987+52.1842j -4.91848-53.589j -1.67263-25.5565j -4.06361-44.4004j 0.35756-2.57527j 1.95413+17.1538j 2.11599+11.6706j -7.97389-82.5605j 4.59534+36.418j -2.09747-23.948j 4.25499+43.8254j -6.09064-54.2746j -1.8418-13.5444j -0.935162+1.95934j -3.44036-33.7402j 5.08875+43.7988j -5.32127-37.8028j 5.8939+39.9851j 2.03272+10.733j -0.182798-0.742849j 0.168155+11.7438j -3.55211-33.9555j 1.03018+3.6664j 3.36558+23.6733j 2.93828+16.6529j 1.72604+11.7715j -0.669566-2.22011j 2.26186+15.3404j -0.211111-0.596461j -1.05069+1.26611j -0.837383-7.71086j 0.538734+2.36945j 0.0355988+0.146804j 
-0.106113+0.475895j -0.0607382-0.254714j 0.744544+2.26375j -0.859658-0.927272j 0.278945+0.580955j 0.143765-4.64717j -0.696003+0.729869j -0.812902-3.11343j -0.636815-5.84261j -0.675629-7.31547j 0.258618+0.618506j 1.83229+9.45285j 0.563856+2.54395j -0.573208+1.11108j 0.791899+3.69284j 1.59298+11.2069j -1.47289-10.3446j 2.511+11.8915j -1.82875-8.92557j -0.482335-1.77506j 0.975066+4.93119j -2.88078-16.2072j 1.85724+12.1556j 2.15979+7.04948j 2.55892+10.3163j -4.17621-23.7826j 0.713699+4.14293j 0.893576+4.13665j 0.704464+0.782958j 2.74435+12.7701j -2.2804-6.84325j 3.6278+15.7779j -2.21689-14.9704j -1.71366-6.72137j 12.4576-0.0479504j 2.15254+9.49056j -0.679796-6.5233j 3.35118+14.6328j -3.31482-15.3658j -1.20651-7.24887j -3.12603-12.0279j 0.350778+0.502811j 1.4583+5.22923j 1.31799+4.46055j -6.61114-23.8058j 2.39583+10.8787j -1.24106-6.5838j 4.05199+13.0235j -4.33585-15.47j -0.147018-3.8001j -0.597723+0.212093j -2.44483-9.11386j 3.79051+12.8667j -2.76831-10.0562j 4.26518+11.3771j 1.1621+3.2288j -0.493408-0.64092j 0.521092+4.1235j -3.42218-9.41605j 0.396019+0.567406j 2.83328+5.79967j 2.18913+4.59548j 1.02632+2.9154j -0.973391-1.08178j 1.8882+4.30103j -0.298714-0.350263j 0.0248473+0.668894j -0.563588-2.07242j 0.782128+0.856278j 0.244481+0.323598j 
-0.0902295+0.408388j 0.145697-0.295419j 1.52188+0.918024j -0.00237786-0.27372j -0.402851+0.903123j -0.0448389-1.43007j -0.0736246+0.713012j -0.482871-1.02056j -0.562043-1.69776j -1.78938-3.36516j -0.259547+0.598426j 1.73282+3.43468j 1.24572+0.994644j 0.35488-0.76539j -0.630987+1.74131j 2.84254+4.067j -2.10122-4.51982j 3.03717+6.1666j -1.93434-2.56857j 0.721464-0.032375j 0.600517+0.524924j -4.34133-6.72758j 3.17085+5.74923j 2.26526+2.65619j 2.6814+4.68451j -6.34418-9.16872j 0.757338+1.38163j 1.0655+2.00059j 0.678172-0.0720545j 3.09758+4.52431j -1.87455-2.45634j 3.26554+6.34843j -3.27516-6.36562j -2.02572-3.86264j 4.46359-2.28918j 2.75128+4.95697j -2.95029-3.66618j 4.29622+5.53475j -3.78714-5.68483j -2.59986-3.26509j -3.58765-5.45893j 0.536069-0.34587j 2.51754+2.0512j -0.0459767+1.42404j -7.54514-9.20811j 3.11871+4.80951j -1.92437-3.14796j 4.31347+5.33896j -5.2655-6.4866j -0.821031-0.984915j 0.080517-0.475839j -3.33025-3.33463j 4.47234+4.4315j -3.61815-4.32495j 4.26574+4.34476j 1.46819+1.3786j -0.292489+0.255106j 0.237745+1.46516j -3.98343-3.37285j 0.651663+0.206102j 2.02056+2.30455j 3.02089+1.76105j 1.07377+1.47731j -0.859674+0.0791986j 1.89405+2.07758j 0.60813-0.396275j -0.152673+0.603921j -0.996213-0.559536j 0.636936+0.388654j 0.23999+0.556342j 
-0.0989415+0.0340202j 0.0224638-0.444967j 0.162778+1.80487j 0.136829-0.452718j 0.68843-0.402723j -0.645418-3.22193j -0.857371+0.926694j -0.727442-2.49954j -1.21827-4.37864j -0.717729-6.52994j 0.547125+1.09204j 2.10829+7.70635j 0.861651+3.73464j 0.210125-0.615381j 0.498334+2.60953j 1.83286+10.5007j -2.02706-10.4915j 3.39141+10.8803j -1.88633-8.43492j 0.192061-1.0673j 0.674429+2.30389j -4.21156-14.0541j 2.95521+11.8275j 3.35763+6.55331j 1.72479+9.45508j -5.41059-22.6071j 0.146304+2.63851j 2.0011+4.59995j 0.803121+1.47908j 3.34137+12.0175j -1.32983-6.65386j 4.18101+14.8857j -3.45503-13.4966j -1.28142-5.71449j 10.7589-0.569054j 2.79297+8.49594j -1.8694-6.46624j 4.03459+13.6819j -4.89918-14.3533j -1.39387-7.73339j -4.23567-11.8082j -0.137093-1.27653j 1.6835+4.02029j 1.22299+2.94208j -6.65706-22.7427j 4.03525+9.33171j -1.73212-5.28792j 4.7407+11.0101j -6.08477-15.4219j -1.1846-3.7822j 0.510301-0.00905482j -3.88892-9.22182j 4.72477+11.6182j -3.52067-9.43695j 4.23507+10.1377j 1.34808+2.59656j -0.074948-0.160269j 0.60561+2.88846j -3.30253-8.73319j 0.79944+1.01072j 2.79417+5.73365j 2.03133+4.41467j 1.12324+3.3279j -0.678541-0.706098j 2.1246+3.88977j -0.049169-0.509329j -0.46185+0.21266j -0.488157-2.17655j 0.352614+0.603558j -0.208478+0.11738j 
-0.384842+0.0623329j 0.207178-1.15092j 0.379033+4.71169j -0.701345-0.767978j 0.0250165+0.147252j -0.927507-9.55642j -0.151448+2.04198j -1.25583-8.89906j -0.801412-10.2871j -1.58183-14.4885j -1.01196+2.90004j 2.48183+19.64j 1.54826+6.81572j -0.0633837+0.290081j 0.0542819+6.14277j 2.5635+24.2455j -3.31378-22.1992j 2.76088+26.1927j -2.4045-19.9377j 0.29474-0.9062j 1.91303+8.37133j -4.65909-31.5628j 3.59598+26.308j 1.56627+14.8199j 4.73017+21.5814j -7.42443-49.8842j 1.4607+8.17646j 2.49725+12.1893j 1.08848+1.20059j 4.98189+26.2673j -2.38217-16.111j 5.7324+32.7726j -4.15063-31.0237j -2.53883-14.3876j 23.1946+2.15644j 3.05061+20.297j -1.46984-14.032j 6.44602+31.6798j -5.24324-32.2559j -3.50682-15.5609j -5.33034-25.9821j 0.717783-1.52837j 3.09285+10.7062j 2.04184+7.3374j -10.8493-49.7673j 5.00627+22.2028j -2.44031-14.8595j 5.70432+25.9081j -7.46922-32.7104j -1.5519-7.96366j -0.146456+1.45578j -4.41489-20.4973j 5.82818+25.5738j -5.05279-22.5226j 5.6933+24.4386j 2.25283+6.85668j -0.481466-0.243894j 0.557089+6.79375j -4.93838-19.964j 1.16009+2.42965j 4.52936+14.5104j 3.0137+9.48913j 1.58574+7.2153j -0.997107-1.13875j 2.71956+9.24309j -0.140296-0.0771016j -0.68575+0.674905j -0.9539-4.70069j 0.522352+1.39782j -0.0318624+0.165323j 
0.905877-0.259826j -0.798556+1.33386j -1.68577-6.38897j 1.37818+1.22282j 0.21713-0.544055j 3.10619+14.3597j -0.0374391-1.99686j 3.34318+9.92078j 2.16747+13.8912j 2.5804+19.9197j -0.575423-3.14855j -6.71775-27.8714j -5.1519-9.93368j -0.907787-0.345865j -1.67928-10.3537j -6.99848-34.0083j 9.07628+32.8141j -9.26899-36.5447j 8.81673+28.6432j 2.02894+0.254775j -2.70964-11.7481j 13.3627+46.6534j -9.27885-36.2497j -5.99063-20.7385j -7.65428-30.1337j 21.0014+71.1071j -1.7785-10.4464j -2.91274-15.7384j -1.66052-2.18156j -11.5806-38.1469j 7.15673+22.419j -14.1654-46.325j 13.758+43.9481j 6.19756+20.3897j -34.5695+2.738j -9.95194-29.0163j 8.63691+20.661j -17.0173-44.0023j 16.1146+47.2945j 7.66501+21.9687j 13.3621+37.6837j -0.848512+2.83014j -6.90584-15.2058j -4.3007-10.3929j 27.654+70.1234j -12.431-31.2745j 7.26414+20.1261j -14.625-36.2225j 18.4348+46.4527j 4.94008+11.1248j 0.864205-1.74176j 11.2063+27.9769j -14.6682-37.8625j 13.299+31.6488j -14.9279-34.3183j -5.07985-9.12642j 0.748304+0.939014j -2.54107-10.1844j 12.7532+28.2275j -2.68074-3.09103j -11.2297-19.3568j -8.23426-13.6404j -3.60201-10.4125j 2.81304+2.00596j -7.25396-13.2122j 0.423021+0.657579j 1.64283-1.51597j 2.90949+6.55949j -1.39731-1.93823j 0.00334-0.51011j 
-0.079613-0.295166j 0.168632+0.257928j 0.26844-0.139218j 1.36006-0.286762j 0.731612+0.491064j -1.02917+1.10619j 0.627083-1.2889j -2.17728-0.0145717j -1.61321+0.664049j -1.02419+0.882212j -0.862217-1.68609j 2.47224+0.697446j 1.17145-1.09937j -0.837067+1.01942j -0.795328-0.427267j 3.29198-1.02276j -3.0765+0.243469j 2.932-1.29741j -2.02569+0.555695j -1.20293-0.0545812j 0.795389-0.397046j -4.41777+1.33473j 2.57561-1.19064j 1.54031-0.490505j 1.98579+0.228729j -6.30494+1.34572j 1.50924+0.121344j 1.33775-0.282343j -0.357311-0.711383j 2.99705-0.946636j -1.39797+0.371132j 4.55176-0.801531j -3.14787+0.716134j -2.76989+1.08692j 0.156973-2.92503j 2.70075-0.797705j -2.2548+0.00844491j 4.2308-1.03788j -4.45892+1.03574j -2.25197+0.0427497j -5.02343+1.10683j -0.22106+0.192286j 1.44047-0.630019j 1.37456-0.449273j -6.4907+2.47041j 3.1712-1.10341j -1.49825+1.22778j 3.66941-1.25555j -4.40012+1.23735j -0.651467+0.0194089j 0.720468-0.356553j -2.22676+0.978062j 3.9373-0.377512j -3.17096+0.503493j 3.72942-0.561338j 1.73949-0.137989j 0.167251-0.272462j 0.93465-0.333179j -3.46388+0.947925j 0.417722-0.0119155j 2.49702-0.767407j 1.98261-0.174303j 0.882249-0.386403j -0.490756+0.0264999j 1.41654-0.128912j 0.409438-0.133706j -0.346246-0.0917907j -0.653457+0.177235j 0.107656+0.0411576j -0.126902+0.15321j 
0.57349+0.21276j -0.455451+0.499344j -0.958827-2.5028j 0.693612+0.407103j -0.255746-0.182971j 1.65487+5.44795j 0.27655+0.377746j 0.02171+5.09926j 1.33563+7.79528j 1.51538+8.77821j 0.0626791-2.27903j -3.95157-13.0736j -2.2778-5.19103j 0.270258-0.337857j -1.09035-4.49666j -7.56188-16.3051j 4.42483+14.961j -6.60598-16.0446j 5.76977+12.5813j 1.16699-0.0846574j -2.95719-5.6273j 9.10007+22.3562j -6.94977-17.0236j -5.08168-8.65127j -6.48885-14.7009j 14.8766+32.4693j -2.09951-4.6288j -3.27919-5.81058j -1.50746-1.31836j -7.83371-16.8544j 6.36718+10.8889j -11.0418-21.4556j 10.3524+20.671j 4.81998+9.1024j -15.938+3.74602j -7.45364-13.0569j 5.53213+8.50789j -11.3105-19.771j 11.9814+20.4274j 4.94752+10.0307j 9.07871+17.0731j -0.844039+0.916027j -4.78628-7.1024j -3.39949-4.38486j 18.74+32.1945j -8.55967-13.9036j 4.99811+9.04946j -10.7303-16.6757j 12.935+21.024j 3.34734+4.85915j 0.255822-1.20989j 8.01286+13.0793j -10.2195-16.6427j 9.04458+14.115j -10.0664-15.7771j -3.69471-4.26427j 0.48552+0.00936194j -1.8542-4.53996j 9.14988+12.8946j -1.68391-1.48551j -7.59877-9.00299j -5.93986-5.70532j -2.49626-4.68122j 1.58597+0.779917j -4.83733-5.99396j 0.226608+0.495472j 1.08483-0.538528j 1.87962+2.97753j -0.733949-0.865893j 0.187707-0.215761j 
-0.222904-0.00596253j 0.346995-1.05654j 0.648279+0.0774403j -0.877039-0.323533j 1.15909-0.840515j 1.00647-2.45718j -0.163871-1.1951j -0.649349-1.85989j 1.98139-1.22884j 1.67818-2.59623j 0.175997-0.574234j -1.05087+3.11309j 0.503125+0.630938j 0.393817+0.0222492j -0.00869822+0.413865j -0.625108+4.53674j 1.85934-4.27195j -2.05424+4.76151j 1.10193-2.53446j -0.273333-0.957223j 0.176609+1.99606j 2.70586-5.31046j -1.81964+3.00371j 0.00862612+2.40122j -1.59042+3.10894j 2.54245-7.52452j -0.167977+0.501932j -0.941464+2.46783j 0.405275-0.299736j -1.43603+4.53111j 0.855787-2.55396j -1.9849+4.29816j 2.33392-4.97458j 1.40002-2.74838j 3.30474+2.13458j -1.93846+2.78058j 1.00422-2.32504j -2.46757+4.13878j 2.18453-5.37089j 1.09779-2.75722j 1.94444-3.82196j 0.236265-0.198666j -0.819639+1.68604j 0.00432683+1.43791j 3.05503-8.75044j -1.30374+2.91448j 0.792498-1.8195j -1.59215+4.27616j 1.83879-5.22479j 0.617724-1.61721j -0.601932+0.270256j 0.67515-2.97006j -1.63758+4.79849j 0.795555-3.17612j -1.81277+3.75522j -0.36821+0.986005j 0.519225+0.222249j -0.449595+0.951265j 1.40203-2.88724j -0.0823745+0.519177j -0.823623+2.58564j -0.423804+0.850832j -0.380258+1.14276j 0.24132+0.209612j -0.535539+1.47669j 0.110221-0.370066j 0.218345+0.184856j 0.327411-0.669755j 0.384233+0.122695j 0.247574+0.240197j 
0.932023+0.338211j -0.2072-0.59764j -1.64233-1.99587j 1.05752+1.20962j 0.382119+1.31823j 0.913026+3.16736j -0.84515-1.48109j 3.85368+2.94169j 0.472875+4.90624j 4.2319+5.82197j -0.35365+0.184263j -6.22561-8.43247j -4.13867-2.49501j -0.88023-0.428558j -1.77108-2.43093j -7.93624-10.6554j 8.44072+8.47509j -9.54972-10.5194j 6.70921+7.6806j 1.13383+0.123964j -3.65101-3.71429j 13.6946+12.5698j -9.60306-11.3795j -5.79815-5.96133j -8.44318-8.15139j 20.8772+19.575j -2.16675-3.21279j -3.7982-3.62593j -1.60377-1.6386j -11.8638-10.9878j 7.17514+5.27319j -14.2346-13.2099j 13.2057+12.9111j 6.14565+5.9695j -10.994+6.94411j -9.20339-7.84833j 6.98663+5.82139j -14.4087-10.8768j 14.767+12.9829j 6.93879+5.91822j 11.7308+10.2928j -0.665413+0.645353j -6.18518-4.35154j -4.21024-2.79442j 24.5397+19.6487j -11.1973-8.42206j 6.65249+5.63772j -13.3217-10.6148j 16.6754+12.7715j 4.71611+3.42121j 0.24432-0.423025j 10.0588+7.78675j -13.5255-10.3676j 11.9135+8.64337j -13.2133-9.38331j -4.51876-2.52846j 0.343773+0.412289j -2.6318-3.19143j 11.671+8.08037j -2.1058-0.641793j -9.61882-5.11926j -7.39774-3.55464j -3.28637-2.84796j 2.17836+0.751682j -6.09223-3.28477j -0.0561399+0.296311j 1.25718+0.194163j 2.32093+1.88492j -0.436362-0.666116j 0.520309+0.0188341j 
-0.937084+0.116534j 0.411691+0.0727721j 1.73823+1.61798j -1.04643+0.957052j 2.20134+0.445878j -2.55196-0.386266j -0.138734+0.233946j -0.689674-0.0746491j -1.82236+0.371422j -2.47605-0.962982j -0.925779+0.0688413j 2.57606+0.99966j 1.17703-0.387876j 0.436707-0.230834j 0.706296+0.171243j 4.43807+1.29202j -3.75559-1.39378j 3.65788+0.762077j -3.63509-1.41951j -0.490115-0.642252j 2.40909+1.10829j -6.49442-1.2452j 4.9468+1.00387j 1.98211+0.954582j 3.53756+1.2606j -9.98861-1.39767j 1.22329-0.185522j 1.84079+0.0489653j 0.538899+0.196112j 4.96339+0.95816j -3.65509-0.887275j 6.18833+1.10344j -5.24618-1.99991j -2.98669-0.552256j 1.84244-3.72201j 3.99288+0.874201j -3.7074-1.04423j 6.18357+1.20272j -6.55033-1.58076j -3.41708-0.827846j -6.31702-1.27785j -0.0862458-0.200144j 2.85722+0.501251j 1.52538+0.71287j -11.4146-2.94375j 4.9194+0.975724j -3.07386-0.608303j 6.11345+1.25978j -7.91895-1.32581j -2.04506-0.0510406j 0.364076-0.192278j -5.01721-0.934299j 5.94899+1.0941j -5.45969-0.718314j 5.91451+1.20118j 2.11174+0.129846j -0.273536+0.109709j 0.989537+0.579893j -4.88228-1.3078j 1.14819-0.160921j 4.49412+0.186784j 3.57551+0.487542j 1.34725+0.40997j -0.94471-0.115733j 3.0681+0.326072j 0.00513277+0.191297j -0.414983-0.22439j -0.986557-0.217683j 0.176573-0.0421723j -0.319142-0.349835j 
1.57224+0.700942j 0.768927-0.177832j 2.14955+0.982033j -0.201724+0.963922j 0.174546-0.608747j 0.571272-1.34079j -0.265854+0.808673j 0.943479-0.392286j 0.327182-0.73699j 1.10433-1.08377j -0.483431-0.67649j -0.130511+2.2828j 0.664458-0.779215j -0.0896476+0.0191516j 0.837106+1.20694j -0.863082+1.0471j 0.878368-1.39853j -0.436196+1.87853j 2.00163-0.877454j -0.164939+0.433975j -0.390112-0.0259908j 1.83729-2.53728j -1.51614+1.43238j -0.247692+0.416107j -0.537447+1.35648j 1.94638-3.56135j 0.547099+0.335489j -0.261771+1.00603j -0.557826-0.110209j -1.33937+2.17894j 0.491548-1.57699j -1.60565+2.29641j 1.37233-1.61593j 0.730904-1.10229j 1.88048+1.28834j -0.955448+1.29813j 0.318231-0.481554j -1.33615+1.68901j 1.55057-2.36816j 0.612438-1.44496j 1.25573-1.83945j -0.196104-0.169145j -0.626205+0.580624j -0.907248+0.656771j 2.281-3.18719j -0.587492+1.27979j 0.279349-1.22728j -1.04249+1.4915j 1.37326-1.88669j 0.722198-0.594427j -0.467941-0.137592j 0.631484-1.32929j -1.39838+1.38824j 1.16253-1.58554j -1.07635+1.0185j -0.499045+0.443605j -0.42402+0.035768j -0.0101675+0.319674j 0.888653-1.19739j -0.573695+0.309148j -1.64181+1.13753j -0.740093+0.919962j -0.323736+0.50776j 0.108908-0.108857j -0.668507+0.615719j 0.125624-0.328972j -0.481866+0.0947695j 0.290651+0.0102414j -1.0207+0.691815j -0.613508-0.368291j 
