-0.0193528-0.0944858j -0.00857711+0.805835j -0.208342-0.533623j -0.266147-2.56653j 0.0970971+1.17773j -0.232426-3.94973j -0.357001+0.340657j 0.0490913-6.71897j 0.0372991-1.26985j 0.069365-0.610454j -0.0916369+7.3647j -0.0305703+0.249522j 0.302243-9.75294j 0.119067-2.47174j -0.403306+7.42523j -0.237313+5.55291j 0.012609+1.40773j -0.317023+4.63057j 0.298235-5.32956j 1.16753-14.1397j 0.390839-3.24343j 0.538493-4.79273j 0.775522-6.83954j -0.103482-0.126876j -0.654734+5.55517j -0.767051+7.54187j 0.891486-5.41489j 1.2101-9.96276j 0.162224+0.918695j 0.727024-8.40942j 0.410807-3.47338j 0.38581-5.7646j 0.15114-1.9739j -0.50416+1.32715j 0.606171-4.59227j 0.56997-0.269584j 0.0684962+1.18678j 0.113484-2.24992j 0.496932-0.817109j -1.65854-0.341084j 0.963975-0.732835j 1.70449-0.941621j -0.730244-0.927146j -1.28783+2.43748j 3.60388-1.70693j -7.37756+2.21558j 1.45242-0.888709j -8.89914+2.7883j -11.5726+3.5258j 3.45718-0.99918j -15.1919+4.43925j 9.95488-2.91234j -6.49133+1.7401j -13.3799+3.51396j -5.03225+1.29329j 29.0216-7.49249j 22.1438-5.72181j -0.225853+0.0348146j -7.03562+1.63038j -2.08955+0.439253j 9.10549-2.07154j 30.5705-7.09305j 4.1228-0.807263j -26.1579+5.95916j 1.04444-0.126136j 23.9276-5.02364j -8.26365+1.83753j 2.1351-0.679748j 22.707-4.69585j -2.084+0.403192j 31.7729-6.51541j -1.10728+0.325843j 7.36849-2.03423j 7.73142-1.76211j 2.17126-0.21219j 14.4067-3.36568j -27.4318+5.27419j 4.14701-0.898773j 13.0094-2.26984j 7.89609-1.34444j 7.10621-1.46738j -13.7512+0.954712j -0.660163-0.202619j -6.18754+0.695009j -10.2564+0.386982j -0.968531+1.05528j 7.19197-0.286221j 1.64333+0.0648444j 3.25628-1.1571j 3.1297-2.31093j -1.52539+0.387574j -2.80974-3.11163j 
9.2043-1.45379j -47.8705+7.7443j 30.0175-4.6781j 91.3911-25.7261j -32.7131+11.1906j 114.293-41.0707j -24.6757+5.32082j 149.164-72.7051j 29.5706-14.4631j 8.53535-5.93208j -120.601+78.936j -2.45056+2.12413j 100.101-106.922j 6.29493-32.4784j -33.0803+79.97j -21.4796+59.2031j -0.883384+18.4098j 7.19759+50.6876j 0.653514-59.6435j -80.0569-153.513j -17.8978-34.4j -93.5403-52.1382j -85.6217-71.9554j 40.2739-0.830194j 62.9432+59.6741j 126.269+79.6889j -157.23-55.8993j -250.654-107.147j 8.83694+9.42669j -239.081-91.199j -132.766-38.0895j -232.115-67.014j -66.2585-22.5294j 140.066+18.7775j -258.58-54.0824j -127.265+3.9097j 51.8806+13.1989j -105.196-29.3469j -523.783-6.51055j 232.602+0.0679066j 211.691+1.5296j -865.437-27.4847j 707.812-6.22807j 256.104+0.774803j -1785.62+10.4202j 3540.91+5.05476j -836.396+22.9955j 4282.59+11.536j 5736.36-15.6832j -1721.05+3.655j 7176.89+42.105j -4871.37-13.0119j 3080.7+22.5568j 6367.25+13.5116j 2497.58+4.24171j -13954.2-60.8215j -10671.3-48.403j 125.247-5.57853j 3466.34+19.0104j 912.945-6.25214j -4328.15-14.2571j -14696.6-69.0959j -1826.96+1.51493j 12650.1+74.2248j -314.046+7.45996j -11443.8-67.5244j 4114.81+22.9599j -1110.91-18.3762j -10936.5-58.8529j 1014.16-7.49435j -15475.9-109.318j 567.121+5.99341j -3431.57-48.8324j -3793.96-22.7423j -1069.86-13.5233j -7307.73-62.4964j 13826.8+101.237j -2199.58-24.9728j -6752.76-63.9256j -4047.75-26.4558j -3793.53-43.3241j 6852.88+37.3086j 600.263+15.5075j 3113.71+59.3005j 5152.54+58.0999j 478.298+34.6132j -3432.76-31.3137j -1145.51-16.6892j -1703.32-31.681j -1007.22+12.2257j 591.824+5.06093j -76.069-4.79507j 
3.19863+0.242957j -16.8828-2.64901j 10.26+1.62256j 32.9385+9.56011j -11.8275-4.30583j 40.8748+15.2431j -8.12549-2.7332j 53.3445+27.035j 10.692+5.4491j 3.26426+2.17367j -42.8632-28.839j -0.784524-0.766293j 36.4674+39.0368j 3.15769+11.0058j -12.3714-28.5127j -7.79196-21.12j -0.983927-6.70387j 1.58577-17.6597j 1.04642+21.5015j -26.8163+52.836j -5.89849+11.7382j -31.8345+17.6581j -30.7138+24.4557j 13.4637+0.684288j 21.4504-20.6087j 44.2098-26.232j -55.1217+18.4412j -87.7548+34.6981j 4.07428-3.01164j -82.7679+29.752j -47.2119+11.7143j -82.298+19.6024j -22.9595+8.28463j 49.1574-3.69734j -90.1805+15.6041j -44.6848+1.57336j 18.3339-2.44252j -38.1933+7.00843j -183.36+2.10221j 80.968-2.22532j 73.8713+2.92927j -302.297-2.04644j 247.602-4.99626j 89.7954-2.19233j -625.203+12.9753j 1239.29-15.9841j -293.128+10.9643j 1498.17-16.8801j 2007.49-31.6235j -601.654+8.86865j 2509.99-17.6458j -1704.51+16.3756j 1077.09-5.78661j 2227.45-22.1946j 873.638-9.2897j -4881.03+35.2111j -3732.23+26.5845j 43.945-1.46924j 1212.49-6.39108j 318.978-7.50397j -1513.88+11.9628j -5139.47+27.8902j -639.152+7.27081j 4423.79-16.9418j -110.507+2.64944j -4001.31+13.0945j 1440.05-5.17936j -387.466-2.01946j -3825.5+11.0931j 355.934-2.97807j -5410.28+7.20821j 197.88-1.09305j -1199.71-3.54766j -1326.61+1.4705j -373.692-2.76954j -2553.83+0.799302j 4835.71+0.657997j -767.816-0.646847j -2359.87-4.5658j -1414.57-0.286589j -1325.63-6.23997j 2397.25-0.400393j 209.02+2.68527j 1089.96+11.7853j 1799.77+9.92943j 165.056+7.58697j -1199.48-4.75672j -402.225-3.30281j -595.312-6.62898j -351.735+2.94623j 205.694+0.605426j -26.6468-0.579797j 
0.32754+0.0180213j -1.69553+1.33586j 0.93936-0.634775j 2.65778-3.19418j -1.22338+1.67377j 3.3632-5.75504j -0.470046+0.987028j 4.4515-9.63365j 1.11708-2.18391j 0.400122-0.730896j -3.30833+10.6974j 0.261196+0.23804j 2.8469-14.4634j 0.442298-4.42912j -0.441873+10.8338j -0.78493+7.96365j 0.311308+2.39454j 1.01037+6.6472j 0.00814617-8.01463j -2.78472-20.6572j -0.333395-5.03576j -3.3681-7.83113j -2.94947-9.55902j 1.16302-0.498845j 1.65839+7.83568j 4.44179+11.0581j -4.92381-6.87086j -9.52891-13.4173j 2.17144+2.91297j -8.06032-11.2754j -4.11181-4.74734j -6.33537-8.10286j -2.34591-2.44393j 4.73225+2.42164j -7.78935-6.4721j -4.06704+0.499508j 1.76353-0.369744j -2.95857-3.12857j -16.2861-1.01826j 7.2565-0.278804j 6.59186-0.137556j -27.434-2.30759j 22.1713+0.171147j 9.03836+0.711281j -56.6333-1.00814j 112.249+2.97634j -26.1797+0.45597j 136.704+3.19265j 181.35+3.42637j -54.2074-0.795427j 228.571+6.33435j -155.033-3.72616j 97.414+2.43047j 202.007+4.47042j 79.4493+1.84309j -443.419-10.0166j -338.482-8.38247j 3.80047-0.143341j 110.027+2.38714j 28.5875+0.908192j -137.102-3.69321j -465.961-9.70973j -57.8818-0.431004j 402.393+8.86614j -9.92922+0.106033j -363.491-8.26499j 130.109+3.20682j -35.4565+0.100588j -347.052-7.13958j 32.7475-0.17779j -492.078-11.0672j 17.6466+0.00284623j -109.858-4.24553j -121.725-2.84464j -34.3615-0.0193792j -231.675-5.0321j 440.754+8.53978j -69.1369-1.07321j -214.527-4.58987j -129.257-2.21396j -120.616-0.806864j 217.256+3.32463j 19.628-0.0146605j 98.6232+3.55896j 162.94+3.50799j 16.3116+1.48699j -108.358-1.19521j -35.0933-0.404305j -54.1121-2.1187j -31.9571+2.10327j 19.1884+0.428811j -3.36089-0.540181j 
3.00518-0.655855j -15.787+4.27828j 10.0281-2.33156j 29.9938-14.7294j -10.4849+6.25566j 37.6664-23.5812j -8.3481+3.2007j 49.1357-41.6325j 9.70069-8.28408j 2.60334-3.16152j -39.8232+44.7554j -0.582527+0.977277j 32.6635-60.7836j 2.25383-17.8942j -10.501+45.2788j -7.02958+33.14j -0.184331+10.5553j 2.45344+29.0554j -0.348417-33.5593j -27.3838-86.0023j -5.9151-19.0996j -31.739-29.3304j -29.1473-41.0904j 12.5952-0.550705j 20.2621+32.1104j 41.8588+45.1305j -51.293-31.2006j -82.2082-58.8747j 2.07881+4.64424j -79.2243-50.5446j -43.9095-21.885j -77.5283-35.9629j -21.9498-10.0422j 47.0137+10.2011j -84.3303-30.1824j -42.6989+1.64966j 17.6181+6.29531j -35.4363-14.4911j -174.249-3.90081j 77.3339-0.0768767j 70.1479+0.153534j -287.806-11.0518j 234.388-1.26536j 84.9165+0.974553j -592.74+0.403941j 1175.72+7.0375j -277.36+6.59504j 1421.81+10.201j 1904.67+2.71008j -571.876-0.994714j 2382.76+23.6356j -1617.67-10.434j 1022.83+11.353j 2114.33+12.2006j 828.851+4.35813j -4633.53-36.5547j -3543.19-28.9456j 42.2223-2.17665j 1150.73+10.3617j 302.657-0.89431j -1436.99-9.08555j -4880.37-37.8362j -606.66-0.913608j 4201.41+36.8799j -103.67+1.43434j -3800.69-32.8724j 1366.07+10.3729j -369.366-7.38409j -3632.24-29.1145j 336.163-3.45914j -5138.33-48.303j 187.518+2.5701j -1139.01-20.1945j -1259.7-9.1191j -355.104-4.17367j -2427.26-26.0397j 4591.47+43.945j -730.558-11.0317j -2242.31-27.0221j -1344.52-11.9475j -1259.82-15.1669j 2275.58+13.7222j 199.217+5.54864j 1035.54+23.3381j 1710.78+22.5124j 159.071+12.9146j -1138.97-12.4444j -380.074-6.21592j -565.606-11.8066j -334.487+4.70229j 197.329+1.3885j -25.4335-2.01302j 
10.9867-1.533j -57.3785+7.67063j 36.1633-4.38621j 109.788-24.836j -38.9544+11.1297j 137.474-39.6918j -29.2515+5.2694j 178.913-71.1132j 35.5406-14.1514j 10.1028-5.90514j -144.005+77.4346j -2.8554+2.02334j 119.102-105.214j 8.00881-31.7191j -37.94+78.9001j -24.6858+57.5739j -1.05515+17.6524j 8.54788+50.149j -1.29495-58.3181j -99.2386-150.293j -22.4297-34.227j -113.057-52.5279j -103.251-71.6619j 47.071+0.237634j 76.1008+59.2427j 152.874+78.9646j -190.706-54.7169j -303.298-106.997j 12.0366+8.40182j -289.575-90.6996j -161.488-38.9826j -281.332-65.8028j -79.3296-21.5426j 169.743+18.1574j -309.752-55.6024j -153.547+4.87944j 62.9662+13.0757j -127.44-30.392j -630.009-6.26039j 281.59+0.0524456j 254.208+1.77908j -1041.67-30.2867j 851.641-9.63781j 309.064-0.0438747j -2149.74+15.9517j 4262.77-0.546605j -1007.19+29.4811j 5155.09+6.29963j 6904.88-28.4775j -2071.6+6.6281j 8639.15+38.9899j -5864.37-8.23284j 3708.34+22.2781j 7664.5+5.99635j 3005.77+0.942355j -16798.6-52.5642j -12844.9-41.5513j 151.5-6.35757j 4173.11+18.25j 1098.24-8.38653j -5210.45-10.9921j -17692.2-62.4278j -2199.66+4.62205j 15228.4+72.1119j -376.808+10.0132j -13775.3-65.9589j 4952.86+21.4007j -1336.59-22.2311j -13163.4-58.1255j 1220.92-11.7979j -18626.9-113.512j 682.702+7.39787j -4130.49-53.0719j -4569.54-24.3483j -1287.29-13.5724j -8797.64-65.2772j 16644.5+109.263j -2646.38-27.5132j -8127.94-67.9117j -4872.43-26.8196j -4567.04-49.1908j 8248.56+38.0227j 720.497+17.1257j 3748.34+65.9732j 6202.79+65.5158j 574.103+37.9984j -4130.18-38.5415j -1379.97-19.2506j -2049.16-38.1142j -1213.46+14.3233j 712.244+5.46481j -92.6484-5.39808j 
-9.95487+1.05349j 53.2695-4.91638j -33.4667+2.65396j -101.874+16.641j 36.1067-6.99012j -127.202+26.3674j 26.8451-3.58082j -166.353+47.1325j -32.9829+9.27039j -9.44855+3.59361j 133.797-51.5593j 3.2785-1.48698j -111.251+70.1599j -7.47232+21.2404j 36.1232-53.1261j 22.6129-38.0041j 0.692993-11.1033j -7.77681-33.5465j 0.0504812+39.0406j 90.8409+100.868j 20.5558+22.5968j 104.277+35.4846j 95.5598+47.3839j -43.5569-0.137048j -69.4279-39.2796j -140.329-53.2981j 174.66+37.3233j 279.85+72.178j -9.84959-5.58334j 266.915+60.3356j 148.972+26.4415j 257.904+46.6513j 73.9127+15.9926j -157.364-13.1974j 288.109+39.4541j 142.339-4.67379j -59.9302-9.55295j 117.879+21.4493j 582.975+3.89562j -259.736+1.55646j -235.357-2.37337j 962.964+24.8884j -787.342+9.94205j -285.372-0.069335j 1988.11-17.5907j -3942.25+6.72891j 931.708-28.316j -4766.7+2.4734j -6385.05+37.2426j 1916.16-9.27633j -7987.9-23.1886j 5422.12-0.60647j -3429.1-15.3093j -7086.7+4.64132j -2778.68+2.85564j 15531.9+26.4427j 11877.4+21.3688j -139.626+5.28967j -3858.62-12.2061j -1015.42+11.3812j 4817.57+3.90529j 16358.8+37.0739j 2033.76-7.02082j -14080.8-49.2984j 349.524-9.43351j 12736.9+46.2646j -4580.47-14.1273j 1235.43+17.617j 12170+39.7139j -1128.34+9.66837j 17222.8+85.8112j -631.977-4.57861j 3818.2+42.9285j 4223.45+16.1043j 1190.84+12.8062j 8132.11+50.9557j -15389.6-85.3786j 2447.87+21.8765j 7512.7+55.5136j 4505.08+22.0793j 4224.09+40.1227j -7624.46-28.5415j -666.956-13.336j -3465.34-58.2844j -5734.5-57.7452j -532.692-34.122j 3820.67+31.6198j 1276.86+17.22j 1894.38+32.3638j 1121.46-13.1529j -658.251-4.73217j 85.5451+5.58831j 
11.7411-1.31168j -61.5166+6.4663j 38.9634-3.74153j 118.295-21.1616j -41.3802+9.31388j 146.818-34.2425j -31.4921+4.48193j 191.847-60.987j 38.2243-12.2808j 11.1255-5.13996j -153.813+66.8638j -3.10915+2.06684j 126.318-91.0272j 7.78285-28.1809j -39.4748+67.7983j -24.9731+50.332j -0.192253+15.2262j 10.8842+42.1887j -1.99416-50.0435j -109.166-131.228j -24.6497-30.0241j -122.502-45.6601j -113.159-62.1743j 51.6035-0.3471j 82.4315+49.6282j 165.057+69.4943j -204.532-48.088j -330.026-94.1901j 12.3595+7.43668j -313.719-80.0789j -173.535-33.5622j -303.367-57.9164j -86.5781-18.1775j 183.966+17.5723j -336.051-50.1322j -165.36+5.47833j 67.2022+12.2994j -137.857-26.6684j -678.693-5.16005j 302.187-2.00844j 273.044+2.41374j -1121.21-29.7748j 916.563-11.8194j 332.147-0.799822j -2314.13+20.8854j 4588.03-7.13903j -1084.64+32.7094j 5548.78-2.65908j 7432.37-41.5887j -2230.18+10.7309j 9298.15+27.5931j -6311.8+0.639643j 3991.53+18.4223j 8249.46-4.44366j 3235.32-3.53249j -18080-32.1461j -13826.3-27.0582j 162.816-7.0104j 4491.46+13.8184j 1182.75-11.025j -5607.61-4.70817j -19042-43.2586j -2367.71+8.93091j 16388.6+57.9274j -405.744+11.5444j -14824.7-53.7588j 5331.53+15.8947j -1437.07-20.5879j -14166.7-46.2477j 1312.8-11.9491j -20049.2-99.8253j 735.999+5.90855j -4446.92-50.808j -4916.85-20.6525j -1386.27-14.6662j -9465.07-61.142j 17913.5+99.7589j -2850.01-27.5377j -8746.45-64.9506j -5243.89-25.9612j -4915.52-48.59j 8876.09+31.671j 775.263+17.5132j 4033.3+67.6518j 6674.34+63.7191j 618.709+40.6912j -4446.36-36.553j -1484.93-20.275j -2205.18-36.9784j -1306.36+16.0092j 766.935+5.53179j -98.9938-6.13503j 
-8.98684+0.775567j 47.4378-4.17489j -29.4272+2.0459j -90.3631+12.9545j 32.1238-5.52658j -113.048+20.7251j 24.0742-2.91197j -147.105+36.7717j -28.9997+6.99796j -8.99427+2.91421j 118.417-40.3868j 2.71339-1.5914j -97.8803+54.9094j -5.92134+16.7947j 31.93-41.1363j 19.1766-29.9558j 0.491242-9.85172j -7.67006-26.2692j 0.585246+30.478j 81.2712+79.6128j 18.2574+17.3148j 93.6733+28.1679j 85.4886+39.1489j -39.2166-0.683483j -62.2272-30.6202j -125.27-41.3603j 156.629+29.2654j 250.131+57.4937j -9.87901-4.45866j 237.006+48.8027j 132.142+21.6973j 230.51+36.4144j 65.5504+9.92883j -139.307-11.0636j 256.401+31.8292j 126.297-4.34117j -52.0345-7.94049j 104.857+17.6164j 517.186+2.6476j -230.992+0.569297j -209.027-1.63154j 855.626+21.8541j -699.792+9.42055j -253.296+0.0585059j 1766.14-16.6849j -3501.28+8.48326j 827.38-25.2713j -4234.44+4.54082j -5672.47+36.356j 1701.95-9.84605j -7096.43-15.8241j 4816.36-2.73555j -3046.53-11.393j -6295.54+8.02888j -2468.71+4.21717j 13797.8+14.8624j 10552.5+13.1659j -124.105+4.88445j -3427.88-7.94827j -903.038+9.7096j 4279.24+1.19751j 14531.9+25.002j 1807.36-6.69917j -12506.9-37.2747j 309.131-7.57155j 11314.6+35.5235j -4069.79-9.79129j 1098.3+14.682j 10811.6+29.1147j -1002.92+10.144j 15300.4+70.0579j -560.775-5.87774j 3392.69+35.8132j 3751.1+14.5119j 1058.39+9.23192j 7225.17+43.0939j -13670.8-68.3809j 2174.1+19.0606j 6674.65+47.8541j 4000.04+18.5439j 3750.39+34.6681j -6773.94-23.9757j -593.159-11.3534j -3077.93-51.518j -5092.85-46.0077j -472.523-29.7309j 3394.32+27.9178j 1132.75+15.0243j 1682.4+28.1372j 996.983-10.7577j -584.511-4.29802j 75.9805+5.27799j 
-0.422626-0.101666j 2.32103+2.29267j -1.71272-1.63111j -5.367-7.30339j 1.81988+3.21955j -7.20843-11.3922j 1.68345+2.18614j -9.3531-20.0669j -2.04347-3.89196j -0.538387-1.07513j 8.01983+21.7658j 0.165219+0.409426j -6.62348-29.4795j -0.763041-8.44054j 3.23536+21.6437j 1.77487+16.3824j 0.0441236+5.4355j 0.156276+13.2451j -0.837214-15.9706j 1.7719-41.4588j -0.283447-9.12762j 4.26396-13.7858j 3.84678-18.8847j -0.619015-0.60219j -2.98176+16.2785j -5.40954+20.7314j 7.7113-14.4097j 11.8003-26.8857j -0.233735+2.43521j 12.346-24.1591j 7.2662-10.0776j 11.7184-16.83j 3.71221-5.65932j -7.85072+4.19724j 14.0408-12.8537j 6.22451+0.000913694j -2.32618+2.30655j 4.49876-6.12712j 27.775-1.34928j -12.7496+1.56657j -10.3051-1.00113j 45.3528-2.70536j -36.9697+1.74087j -13.1829+1.17954j 94.1031-4.76125j -184.629+8.27009j 44.9705-2.4106j -223.296+8.7721j -300.08+12.4223j 89.7907-3.50476j -373.444+12.8102j 254.076-8.82069j -160.104+5.40866j -332.91+10.9142j -129.926+4.71767j 728.896-22.4135j 557.608-16.6898j -6.3492+0.248861j -181.24+4.59945j -47.9393+2.94798j 226.101-6.53533j 767.312-21.2971j 95.5265-3.35401j -659.689+15.85j 16.2869-0.526516j 599.208-13.4988j -214.744+3.84476j 57.813-1.70005j 570.105-12.4003j -55.1353+0.73093j 807.034-14.6461j -28.3243+0.256598j 178.33-3.39749j 198.721-3.01028j 53.7563-1.93075j 380.365-7.99378j -721.526+12.1886j 115.758-1.40229j 352.817-4.25648j 210.948-3.05713j 198.66-2.76721j -357.683+3.96902j -33.0356-0.903369j -162.528+1.55206j -268.904+2.23011j -24.0303+0.0449476j 179.412-1.69602j 59.3936-0.138227j 88.5214+0.67883j 53.4075-0.896181j -31.4458+0.255644j 3.72165-0.128873j 
3.52305-0.29849j -19.3351+0.489104j 12.3525+0.014627j 37.8525-2.28995j -13.4726+1.37756j 46.8847-3.71901j -10.0181+0.468102j 61.8104-6.75579j 12.7292-1.6284j 3.62949-0.254743j -49.5866+6.82203j -1.04514+0.328111j 42.0479-9.5268j 2.87626-2.69312j -14.2908+7.49504j -8.94028+5.13304j -0.980756+1.47399j 2.13691+5.21868j 1.24846-4.78036j -31.3369-14.5854j -6.04454-3.56733j -37.1534-4.93036j -32.8253-6.76335j 17.0382-0.425402j 24.5469+5.90835j 50.4567+7.35767j -61.9833-6.69603j -101.819-11.5094j 3.26673+0.580038j -95.1414-9.54666j -53.8671-5.10688j -93.0222-8.34062j -26.0362-2.06346j 57.0394+2.58777j -103.291-6.38514j -52.0006+1.40444j 21.8349+2.5318j -42.3902-3.89231j -212.164-0.497612j 95.4187-0.923649j 85.1645+1.45829j -350.604-6.919j 286.882-4.35758j 103.773-0.599244j -723.067+8.12631j 1434.62-5.15522j -340.231+10.7044j 1734.49-4.55857j 2323.35-17.8586j -697.318+5.28344j 2906.32+2.61948j -1973.06+4.81967j 1247.35+2.9739j 2579.09-6.2608j 1011.25-3.69522j -5652.36+0.923834j -4323.17+0.437466j 51.0649-2.02406j 1403.76+1.72755j 369.462-4.69093j -1752.79+2.60181j -5952.98-3.85488j -740.046+3.77576j 5124.12+10.158j -126.705+3.81402j -4633.23-9.8017j 1666.46+3.75044j -451.394-4.58531j -4429.29-8.17778j 412.06-4.18119j -6268.17-21.7203j 230.805+1.42556j -1389.08-13.269j -1538.75-6.41985j -434.075-3.35591j -2958.4-15.5942j 5599.8+24.1943j -891.212-7.21337j -2733.93-17.1098j -1638.79-6.22945j -1535.03-12.8503j 2775+9.23553j 243.268+5.8489j 1261.52+19.2005j 2085.96+18.0512j 192.879+11.7635j -1389.71-10.6304j -465.227-6.35535j -689.246-11.3357j -408.988+4.72136j 240.11+0.943484j -30.9435-1.94275j 
-14.6086+1.28336j 77.1988-6.29892j -48.3945+3.15435j -147.739+19.7383j 52.2353-8.56932j -184.205+32.0371j 39.2854-4.17845j -239.677+57.0532j -47.6046+11.2762j -14.3807+4.41317j 192.328-62.4513j 4.64301-2.01674j -158.061+85.4655j -10.3879+25.9609j 49.6783-63.3881j 30.8051-46.8809j -0.145171-14.6489j -13.5128-40.9007j 2.90325+47.2836j 135.664+123.625j 30.0781+28.2148j 152.729+43.3798j 141.642+57.6728j -64.1514-0.473363j -104.145-48.2865j -208.839-66.7726j 256.631+46.2754j 410.98+88.6483j -15.7264-7.12387j 391.057+75.4698j 217.548+32.4252j 380.125+57.4474j 108.147+18.7655j -229.601-16.852j 419.163+48.8233j 207.202-6.8338j -85.1868-11.9293j 172.71+26.5316j 848.973+4.01033j -378.222+1.65109j -342.347-3.13829j 1402.98+34.4916j -1147.12+15.6064j -415.424+1.05365j 2895.73-28.7671j -5740.59+16.0397j 1356.93-41.9216j -6942.67+10.1654j -9299.59+62.1128j 2790.72-16.475j -11634.3-22.5309j 7897.11-8.1781j -4994.04-17.8386j -10321.6+15.7154j -4047.56+8.89239j 22621.9+18.2764j 17299.1+16.289j -203.981+8.11872j -5620-13.1068j -1479.93+15.8899j 7015.53-0.595306j 23825+33.1659j 2963.51-11.8033j -20503.7-55.5891j 508.132-15.5949j 18548.6+52.2333j -6671.13-15.8657j 1799.14+22.7817j 17726.7+46.1628j -1644.45+15.3137j 25084.1+106.527j -918.166-5.81618j 5562.03+56.7665j 6150.42+21.4593j 1733.39+14.7849j 11843.7+67.4425j -22410.3-108.535j 3564.32+31.1032j 10943.4+74.6493j 6561.3+28.0107j 6148.78+54.3875j -11104.4-35.1222j -971.497-19.2262j -5045.7-79.9722j -8350.11-75.9164j -773.569-48.4599j 5562.26+43.9879j 1857.27+23.9899j 2758.21+44.8003j 1634.69-17.9962j -958.8-6.77913j 124.103+8.02211j 
11.578-1.06027j -61.1806+5.43697j 38.183-2.83728j 117.17-17.0816j -41.5846+7.48845j 145.942-27.8222j -31.1632+3.40116j 189.833-49.169j 37.5637-9.66847j 11.0356-4.36396j -152.713+53.6119j -3.33792+1.46089j 126.118-72.5344j 8.34763-22.4817j -40.4537+55.0567j -24.8376+40.7643j -1.44517+13.6886j 10.2204+34.7085j -1.93506-40.5507j -106.427-106.385j -23.7959-24.5084j -120.306-36.6217j -110.961-50.5484j 51.1175+0.347569j 80.9427+41.1941j 163.104+55.4981j -202.563-39.4486j -325.086-76.7707j 12.8807+6.18525j -309.817-64.4646j -171.734-27.6195j -299.46-49.3965j -84.2542-16.0742j 180.845+15.2747j -331.838-41.9804j -163.696+5.55903j 66.4038+10.795j -136.423-22.8353j -670.661-3.89307j 299.15-1.50266j 270.311+2.60867j -1108.79-28.052j 906.791-11.9285j 328.143-0.744j -2288.09+22.355j 4536.63-10.9513j -1072.06+32.6814j 5486.55-6.25314j 7349.65-46.4955j -2204.79+11.7058j 9194.42+20.3638j -6240.9+4.74265j 3947.08+15.0208j 8158.09-10.6351j 3199.33-7.0666j -17877.4-18.663j -13671.7-16.1746j 161.953-6.75762j 4441.26+10.9841j 1168.19-12.0788j -5544.68-0.370658j -18827.9-33.0368j -2341.17+9.3713j 16205.4+48.3998j -402.984+9.76171j -14658.1-44.0051j 5271.06+13.7147j -1422.41-18.6023j -14007.7-38.1272j 1298.8-10.9656j -19824.6-89.2639j 724.97+5.19354j -4395.81-45.9899j -4861.76-17.0758j -1369.42-11.5324j -9361.74-54.5807j 17711.6+90.4527j -2817.51-25.5039j -8647.74-61.1027j -5185.09-21.6964j -4859.93-42.7263j 8778.31+28.0086j 768.333+14.9021j 3988.7+64.1717j 6600.66+62.8826j 611.632+40.1355j -4396.91-36.0056j -1467.84-19.6731j -2180.47-36.1969j -1291.89+14.9954j 758.119+5.13096j -97.8-6.47938j 
6.50243-0.307452j -34.1342+1.71032j 21.1638-0.841461j 65.0661-4.67451j -23.4482+2.0167j 81.0155-7.74616j -17.0714+0.983226j 105.718-13.8353j 20.5778-2.49265j 6.01008-0.894193j -85.378+15.5693j -2.10218+0.885664j 70.5195-20.6821j 5.09075-7.25523j -22.8438+16.4833j -13.2805+12.4109j -0.698714+2.87918j 4.91787+11.2558j -0.688771-11.018j -58.84-32.511j -12.8681-6.44271j -66.8973-10.8452j -61.1336-15.0003j 27.9044-0.0979045j 45.4836+11.7354j 90.1066+17.8003j -111.637-12.2175j -179.019-23.6162j 7.43485+2.79814j -170.454-21.1291j -95.271-9.20576j -165.67-15.9884j -47.3361-4.63274j 100.217+6.69652j -183.749-14.116j -90.2847+3.24518j 37.1914+4.39437j -74.1685-8.83923j -370.516-1.11527j 165.709-1.59399j 149.467+2.02906j -613.699-13.8627j 502.354-7.25679j 181.834-0.0591429j -1266.67+14.5889j 2511.29-10.3733j -593.643+19.0997j 3036.95-8.29172j 4068.13-32.4892j -1220.8+9.01701j 5089.61+3.09346j -3454.23+7.34026j 2184.22+5.18709j 4515.8-12.8548j 1770.47-5.61492j -9895.47+3.32642j -7567.62+0.193755j 89.0735-3.99362j 2457.87+3.31113j 647.122-8.39606j -3068.73+4.7521j -10422-5.10843j -1295.48+6.82377j 8970.35+17.3022j -222.532+8.04046j -8115.11-15.2233j 2919.13+2.57711j -787.726-9.20033j -7754.17-14.46j 718.265-6.76284j -10973.4-36.73j 401.802+1.79024j -2431.25-23.097j -2691.21-7.58311j -758.256-5.22613j -5181.49-24.3351j 9803.31+41.8423j -1558.35-11.5429j -4787.22-28.0734j -2870.19-10.2095j -2689.77-22.7148j 4858.81+13.3306j 424.556+9.67947j 2206.55+33.9813j 3654+31.8457j 339.193+21.1244j -2432.88-18.1816j -812.388-10.4175j -1205.31-19.1543j -715.494+7.89123j 419.45+2.83406j -54.1515-3.96908j 
