-0.143467-0.351162j 0.130128+0.839778j -0.239585-1.23367j 0.753777+1.94186j -0.587795-1.94063j 1.03586+5.20946j -0.792115-0.655425j 1.47654+6.55068j -1.7047-6.55145j 0.387073+1.41061j -2.18843-10.7301j 1.27933+5.1142j 1.19236+5.90857j 2.09917+9.76202j 0.757141+3.43344j 4.3051+20.2877j -2.95266-13.1544j -0.309208-1.21318j 1.00774+5.17794j 1.04383+4.47435j 0.815993+3.90864j 4.7571+22.3673j -0.167919-0.730116j 3.56953+16.8988j 0.222457+1.11346j 7.80246-14.6123j 6.78061-2.91653j 0.208902+0.742497j -3.67201-16.9888j 0.0370614+0.459477j 4.84969+22.1255j 0.840416+3.91918j -1.21989-4.45205j -1.34917-5.25752j 0.108311+1.21237j -3.21424-12.5844j 4.50362+19.5331j -0.782416-3.22769j 2.03205+9.02458j 1.2363+5.64856j 1.21621+4.82479j 1.54111+10.2245j 0.0085204+1.08286j 1.06925+6.5863j 0.770827+6.36943j 0.780263+0.850897j -0.774989-5.2209j -0.336467-1.45928j 0.889242+1.9696j 1.8167+2.44968j -0.449001-1.19068j 2.46882-1.85173j 
2.47366+67.2582j 0.3697-415.235j -12.1992+722.074j -7.92559-1014.48j 6.36076+990.961j -1.60747-2515.3j 15.1671+393.749j -0.371686-3180.52j 15.382+3276.89j -3.95079-718.131j -19.4677+5079.23j -0.811488-2531.06j 10.4916-2862.43j 5.30239-4652.98j 1.4165-1703.48j 31.0182-9785.03j -21.2121+6343.89j 1.31552+590.227j 11.064-2561.91j -0.191413-2076.55j 7.3573-1878.35j 44.0523-10763.9j 5.71881+234.774j 44.8791-8185.12j -3.68411-409.394j -5029.43+6007.9j -3347.95+594.728j 9.46982-409.964j -45.6626+8185.71j 10.4078-235.304j 77.876-10766j 14.3458-1878.44j -29.8841+2077.12j -15.7103+2561.7j 8.29868-590.658j -54.6508+6345.48j 78.432-9787.08j -19.5706+1704.1j 49.2915-4654.98j 21.2234-2863.05j 30.1768-2531.35j 36.5127-5080.28j 14.0473-719.192j 57.4736-3278.89j 36.4119-3181.65j 23.9435-395.386j -28.6404+2516.86j -18.451+991.431j 21.5411-1016.55j -6.78207-721.037j -4.82685+415.744j 3.34706-67.5134j 
1.28291+23.5536j -1.40694-145.232j -2.75391+252.336j -7.11915-355.272j 6.22164+347.035j -9.09028-880.368j 7.93776+138.152j -11.1911-1112.76j 18.288+1146.97j -4.29339-250.96j 8.79371+1776.45j -9.26676-885.907j -5.43351-1001.2j -14.2217-1627.75j -6.08279-595.929j -21.522-3422.82j 14.9113+2218.84j 2.20691+206.531j -4.29464-896.135j -9.4486-726.122j -3.7667-657.132j -19.4519-3764.29j 3.74375+82.3011j -9.91927-2862.36j -2.36924-143.651j -1739.49+2117j -1168.47+217.924j 2.11356-142.554j 9.12824+2863.14j 1.71875-81.4041j -6.99461-3763.66j -0.25666-656.938j -2.09725+726.083j 2.01366+895.817j 1.85929-206.255j 2.90782+2217.88j -3.09171-3422.92j 0.00523145+594.962j 1.61923-1626.68j -1.43841-1000.64j 3.02031-884.608j -3.08913-1777.12j 1.96964-251j 8.96077-1146.93j 2.9207-1110.94j 5.4864-136.559j -1.81036+879.649j -2.76459+347.907j 3.61849-355.1j -3.52992-251.801j 0.180773+144.554j 0.390119-23.6766j 
0.0722077+2.11138j 0.140138-13.0013j -0.843833+22.8793j 0.506558-32.2968j -0.348091+31.2805j 1.31408-79.797j 0.18796+12.3067j 1.43636-101.371j -1.47631+103.475j 0.134066-22.5192j -3.0697+161.66j 1.53231-80.6108j 1.54695-90.6873j 2.55108-147.601j 1.06896-54.1041j 5.59219-310.825j -4.26637+201.119j -0.280149+18.6142j 1.50218-81.291j 1.74689-65.515j 1.50463-59.5775j 6.40954-341.326j 0.225699+7.4587j 5.31803-260.465j 0.147183-12.9399j -162.898+187.891j -106.716+17.4295j -0.534507-13.1834j -5.58305+259.782j 0.764221-7.17814j 8.13599-342.337j 1.85241-60.0811j -2.63771+66.5027j -2.17579+82.1427j -0.0364909-19.1062j -4.76936+201.393j 7.1662-312.052j -0.939909+53.648j 3.67445-147.903j 2.14842-91.4345j 0.780809-80.4882j 3.62175-161.073j 0.284804-23.3359j 3.71593-103.852j 2.54976-100.618j 0.855312-13.3831j -1.53024+79.4083j -0.822749+30.6455j 1.72049-32.4414j -1.12479-22.8588j -0.490567+13.4821j 0.3735-2.88494j 
0.676098+22.4795j 0.567575-138.059j -4.25684+239.968j -1.32485-336.394j 0.775203+329.047j 1.93207-835.107j 4.02624+130.445j 3.12322-1055.9j 1.21813+1088.02j -0.500179-238.731j -10.8413+1686.32j 2.30077-840.497j 5.92397-950.419j 6.20549-1544.99j 2.21378-565.292j 19.4308-3249.06j -13.5431+2106.31j 0.0486238+196.435j 6.16794-850.495j 2.23705-689.246j 4.04612-623.732j 24.4693-3574.48j 1.68425+77.9668j 22.1422-2718.53j -0.220896-135.486j -1675.32+1990.71j -1113.07+194.526j 3.57611-136.476j -22.6377+2718.58j 4.64424-78.48j 34.9614-3574.46j 6.3244-624.188j -12.2804+689.337j -6.73353+850.638j 2.34567-195.996j -23.7463+2107.56j 35.4355-3249.95j -8.8645+565.98j 21.2093-1545.64j 10.1673-950.966j 11.053-840.743j 15.1035-1687j 5.18034-238.704j 23.2656-1089.84j 15.0035-1056.01j 8.79843-131.432j -12.1602+835.039j -7.13175+329.103j 8.37501-337.61j -2.10687-239.406j -1.67929+138.627j 1.4217-22.5822j 
3.16818+80.9984j 0.0182864-499.927j -13.8381+869.029j -11.7264-1221.42j 8.93743+1192.89j -5.34347-3027.93j 19.5766+474.256j -4.61014-3828.38j 23.3042+3944.39j -5.51611-864.39j -17.491+6114.01j -4.26066-3047.03j 9.22088-3445.72j 0.00678703-5600.87j -0.970162-2050.11j 25.0858-11779.4j -16.599+7635.84j 2.14476+710.954j 10.3478-3084.16j -2.96264-2499.39j 6.21142-2261.46j 38.8704-12957.9j 7.59851+282.893j 43.5728-9853.22j -5.60505-491.896j -6045.76+7238.42j -4029.44+720.305j 12.2029-492.976j -44.9536+9852.55j 13.3913-282.92j 80.3096-12958.2j 14.1649-2260.9j -32.6325+2500.25j -16.6715+3085.54j 8.3218-710.815j -56.6533+7639.16j 83.6061-11781.5j -21.4067+2050.46j 52.1037-5603j 20.9618-3446.36j 34.128-3047.7j 37.0129-6115.24j 15.4067-864.488j 63.5193-3947.37j 40.5688-3830.15j 26.42-474.745j -33.9505+3028.17j -21.0609+1194.13j 25.6043-1222.64j -8.38068-868.86j -5.13647+500.416j 3.79752-82.0871j 
-3.00892-75.2781j 0.948194+462.337j 11.9439-803.42j 12.0075+1129.29j -9.61668-1103.37j 8.01035+2800.25j -19.0057-438.741j 8.99539+3539.98j -27.117-3647.54j 6.30734+799.673j 9.74323-5653.24j 7.55814+2817.14j -4.93008+3186.12j 6.1328+5178.72j 3.24509+1895.32j -10.2612+10891.4j 6.47674-7060.95j -2.42869-657.091j -6.67325+2851.77j 7.21064+2311j -3.94181+2091j -22.0673+11981.3j -7.72606-261.514j -29.8295+9110.75j 5.70875+455.672j 5582.23-6699.54j 3725.05-669.656j -9.97802+455.516j 30.6603-9109.03j -10.6286+261.909j -60.0195+11981.5j -11.4987+2089.87j 26.142-2311.12j 10.5927-2851.82j -7.89166+657.62j 43.2803-7061.64j -64.1153+10893.3j 16.8437-1896.55j -41.766+5178.94j -16.6175+3186.24j -27.2801+2818.93j -27.2266+5652.54j -12.0241+799.732j -55.2462+3649.22j -34.4903+3541.1j -23.6805+440.427j 27.1177-2801.3j 18.2762-1104.66j -21.3367+1130.05j 8.53467+802.789j 4.10505-462.442j -4.01643+75.842j 
3.39104+87.5683j -0.994475-538.077j -13.9382+935.203j -14.546-1314.51j 11.2446+1284.25j -9.30919-3258.89j 21.8053+510.781j -10.7171-4120.7j 30.6925+4245.73j -7.40786-930.688j -10.8418+6580.24j -8.99768-3279.42j 5.66342-3708.69j -6.84891-6028.29j -3.91141-2206.76j 12.0693-12677.8j -8.54715+8219.31j 3.2936+765.103j 7.31216-3319.46j -7.0744-2690.42j 3.92013-2433.56j 25.19-13946.3j 9.44481+304.763j 34.7387-10603.8j -7.01268-529.642j -6497.07+7798j -4335.77+779.428j 11.6379-529.541j -35.8257+10603.7j 12.7514-305.409j 70.1339-13947.8j 13.179-2432.82j -31.2018+2691.92j -13.7747+3319.99j 9.08274-765.6j -52.155+8219.32j 75.5426-12680.2j -21.2593+2208.12j 49.4107-6029.58j 19.7089-3709.01j 33.2089-3280.35j 31.3038-6580.68j 15.3922-930.122j 63.8846-4247.58j 38.218-4121.61j 28.4155-511.703j -31.968+3260.12j -21.4137+1284.9j 24.4582-1315.84j -10.2177-935.345j -4.9519+538.922j 4.33886-87.8654j 
-2.8206-66.8012j 0.963229+410.424j 10.6122-713.798j 11.2523+1003.27j -9.05971-980.105j 8.47746+2487.06j -17.0593-389.616j 9.30093+3144.79j -25.8464-3240.48j 6.40081+710.211j 6.01573-5022.2j 7.58762+2502.29j -3.04081+2830.43j 8.03694+4600.59j 3.91507+1683.93j -3.8183+9675.37j 2.75866-6273.22j -2.49908-583.803j -4.01846+2533.41j 6.97085+2053.33j -2.34327+1856.91j -14.0855+10643.1j -6.62043-232.765j -22.4313+8092.32j 4.76784+403.915j 4955.68-5954.39j 3309.06-595.89j -8.45792+405.185j 22.5973-8092.31j -10.1092+232.452j -48.9639+10644.1j -7.89029+1857.13j 21.9822-2053.6j 9.56948-2532.76j -5.64537+584.477j 36.0423-6273.93j -51.0175+9676.7j 14.5871-1684.36j -35.9417+4601.28j -13.8382+2829.28j -23.4889+2502.58j -22.5064+5021.96j -10.2407+710.903j -47.5782+3241.28j -26.5757+3144.93j -20.7745+390.707j 23.7575-2488.72j 15.7957-980.15j -18.4397+1003.89j 7.02045+713.822j 3.67691-410.626j -3.80318+67.3099j 
-0.226401-3.46217j 0.610678+22.121j -0.446012-37.7853j 2.49614+53.2341j -2.08647-52.2942j 4.22472+131.227j -1.84884-21.3147j 4.88859+166.034j -6.52847-171.491j 1.46459+37.4681j -6.2758-264.496j 3.95478+132.284j 3.79239+149.086j 6.57308+243.352j 2.94732+88.717j 12.9645+511.344j -8.64926-331.695j -0.96349-30.7003j 2.87351+133.872j 4.3204+108.727j 2.14971+98.0972j 14.3531+562.036j -1.14592-12.4021j 9.35549+426.855j 0.755191+21.2881j 254.878-321.515j 173.969-36.5483j 0.554042+21.3323j -9.75279-426.633j 0.181209+10.6476j 11.2328+561.243j 2.24199+98.7703j -1.99346-107.772j -2.4651-134.286j 1.20121+29.5089j -7.99199-330.384j 10.9004+510.679j -1.40479-89.6067j 4.12939+243.199j 3.11773+149.16j 2.64317+132.429j 5.27467+265.103j -0.300123+38.7775j 2.70126+171.115j 2.89587+166.044j -0.0666571+20.1138j -2.53279-131.535j -0.418342-51.2886j -0.0738836+52.8163j 1.52963+38.234j -0.576085-22.1633j 0.102369+3.3663j 
1.10447+27.3885j -0.587491-168.606j -3.79289+292.515j -5.27413-411.053j 4.138+401.271j -4.03477-1019.17j 7.2556+160.338j -5.09115-1288.16j 11.8845+1327.24j -3.15134-291.079j -0.867177+2056.99j -4.73698-1025.34j -0.10952-1159.18j -4.82034-1884.8j -2.77836-689.859j -2.14103-3963.78j 1.70536+2570.19j 1.31115+239.396j 0.682475-1037.54j -4.4248-840.888j -0.413131-760.763j 1.66959-4360.07j 3.18942+95.161j 6.25142-3315.52j -2.54877-165.511j -2027.45+2440.28j -1353.99+245.6j 2.69639-167.069j -6.1833+3315.31j 3.8699-94.4085j 14.7426-4360.74j 2.85694-760.006j -8.18759+840.818j -4.06624+1038.94j 2.16199-239.938j -12.4954+2569.01j 17.0759-3963.7j -5.36427+690.372j 12.4137-1884.63j 4.29794-1159.11j 8.37587-1024.29j 7.75178-2057.13j 4.94321-291.45j 17.5563-1328.05j 9.98872-1287.8j 8.23075-159.579j -8.51267+1018.91j -6.34633+402.371j 7.14671-411.014j -3.47085-292.841j -0.726414+168.707j 1.37282-27.42j 
-4.48199-109.539j 1.7674+673.231j 16.8478-1170.23j 19.2003+1644.89j -15.3777-1606.97j 15.148+4077.55j -28.1946-639.018j 16.8688+5155.9j -43.5329-5312.41j 10.485+1164.68j 7.84314-8233.46j 14.4213+4103.07j -3.76959+4640.15j 14.7079+7542.49j 7.68973+2760.84j -2.41696+15862.7j 1.54028-10283.8j -4.5511-957.423j -6.5507+4153.47j 12.4385+3366.08j -2.48769+3044.42j -17.5834+17449.3j -11.0996-381.936j -33.4127+13266.3j 9.91276+663.06j 8121.94-9763.39j 5423.41-979.451j -13.1661+663.37j 35.5415-13268.1j -15.3081+380.818j -73.8724+17450.2j -14.386+3045.39j 34.7271-3366.52j 13.976-4152.89j -9.01002+956.961j 56.2473-10284.6j -80.799+15863.3j 23.6598-2761.66j -55.8517+7544j -20.7356+4640.98j -36.5494+4103.31j -33.5586+8232.67j -16.9528+1164.77j -74.7877+5313.82j -44.5285+5156.47j -33.8614+639.714j 37.1968-4078.22j 25.0745-1607.15j -29.2513+1645.84j 11.9173+1170.38j 5.71509-673.659j -5.69518+110.08j 
3.54319+86.5509j -1.22673-531.996j -13.5679+924.917j -14.9039-1299.93j 12.0807+1269.79j -11.0343-3222.46j 21.9715+504.832j -12.3577-4074.62j 33.0629+4198.57j -7.61355-919.981j -7.47815+6506.87j -10.6631-3242.6j 3.61105-3667.27j -10.5991-5961.54j -6.07713-2182.26j 4.32898-12535.8j -2.99596+8127.41j 3.60924+757.227j 5.54966-3282.4j -9.12347-2659.44j 2.1392-2406.62j 18.4894-13789.6j 9.12412+301.278j 28.9886-10485.3j -5.95288-524.879j -6419.72+7714.02j -4286.08+773.725j 10.6329-524.658j -29.5654+10484.6j 11.5213-301.544j 62.2397-13791.2j 11.658-2407.3j -28.0388+2660.63j -11.2823+3282.77j 6.87962-755.954j -45.9747+8128.95j 67.582-12536.9j -19.3374+2182.95j 45.7873-5961.48j 16.299-3667.51j 28.6471-3243.27j 27.3737-6508.05j 13.2635-921.037j 60.6795-4200.51j 37.4035-4075.96j 28.0422-505.77j -30.5127+3223.8j -20.5808+1270.19j 23.6936-1301.18j -9.89938-924.991j -4.43443+532.674j 4.59195-86.7529j 
2.14452+47.8179j -1.17279-294.197j -7.28908+511.904j -8.89712-719.848j 7.80733+702.848j -8.16251-1783.86j 13.0452+279.604j -9.39929-2255.46j 21.7159+2324j -5.32192-509.512j -0.176329+3601.92j -7.9187-1794.86j 0.090603-2029.47j -9.98212-3299.93j -4.46128-1207.71j -5.23381-6938.85j 2.79865+4498.8j 2.65544+418.708j 1.35292-1816.54j -7.83856-1472.32j -0.715519-1331.77j 1.47947-7633.08j 5.42173+166.451j 10.5428-5804.06j -5.51509-290.236j -3548.74+4275.13j -2373.09+430.231j 5.7605-290.553j -10.9364+5803.81j 6.32589-167.449j 24.9876-7633.84j 5.26232-1332j -14.1313+1471.39j -4.63688+1817.25j 3.22838-418.645j -19.7401+4499.23j 30.0539-6939.23j -8.6828+1207.37j 20.5387-3300.14j 7.10325-2030.19j 14.9471-1794.97j 12.0043-3602.18j 8.23295-509.301j 31.1344-2324.32j 17.8156-2256.63j 14.8647-280.407j -14.7342+1783.7j -10.6219+702.768j 12.2747-719.04j -5.77663-512.301j -2.20697+294.693j 2.88412-48.0117j 
